Player_id, Player_name, Player_team1, Appearances1, Player_team2, Appearances2
8148,James Collins,29,36
8222,Leighton Baines,31,45
260289,Ramadan Sobhi,96,43
67300,Ron-Robert Zieler,14,38
24827,Charlie Daniels,183,51
23446,Marc Wilson,183,1,175,14
111141,Oumar Niasse,214,17,31,10
4567,Bastian Schweinsteiger,32,4
332326,Elliot Embleton,16,6
332325,Declan Rice,29,21
91213,Alvaro Morata,15,15
331515,Michael Phillips,162,3
116317,Abdoulaye Doucoure,27,41
91762,Danny Ings,26,2
259134,Max Stryjek,16,1
349444,Max Melbourne,175,1
11104,Alvaro Arbeloa,29,3
101550,Kevin Wimmer,30,29,96,13
331923,Noor Husin,162,4
296870,Sam Surridge,183,1
2809,Stuart Taylor,18,16
136742,Jan Bednarek,18,2
136741,Bernardo Silva,167,17
7895,Julian Speroni,162,47
43105,Joel Ward,162,53
83532,Harry Kane,30,46
7890,Robert Green,166,7
105171,Jamaal Lascelles,23,13
105797,Jordon Ibe,183,51
91909,Son Heung-Min,30,53
121774,Ederson,167,17
42915,Lee Chung-yong,162,32
31402,Bojan,96,24
136356,Isaac Hayden,23,16
338497,Angel Gomes,32,1
338496,Josh Harrop,32,1
338495,Daniel Batty,214,1
95408,Virgil van Dijk,18,34
92729,Nathaniel Chalobah,27,5,15,29
336237,Nathan Holland,29,1
336236,Moses Makasi,29,2
89401,Granit Xhaka,13,50
338499,Zachary Dearnley,32,1
338498,Matt Worthington,183,1
25964,Salomon Rondon,175,55
94030,Jon Flanagan,26,1,184,31
5566,Dean Marney,184,21
90780,Oriol Romeu,18,51
333255,Abdelhamid Sabiri,166,7
99487,Harry Maguire,214,34,14,17
31101,Dusan Kuciak,214,3
81026,Joshua King,183,51
10136,Vincent Kompany,167,28
10133,Heurelho Gomes,27,55
244303,Oliver Burke,175,8
71381,Wahbi Khazri,16,33
5554,Steve Sidwell,211,2
78498,Romelu Lukaku,32,17,31,37
34749,Willy Caballero,167,38,15,17
317243,Sam Field,175,30
19114,Martin Cranie,166,11
336285,Rhian Brewster,26,1
78221,Patrick van Aanholt,162,27,16,21
8137,Joleon Lescott,16,9
33064,Victor Moses,15,47
105172,James Ward-Prowse,18,51
15338,Branislav Ivanovic,15,19
33386,Ashley Barnes,184,45
70676,Pedro Obiang,29,43
136464,Tosin Adarabioyo,167,1
23383,Andy Carroll,29,30
315543,Ola Aina,15,11
315544,Kasey Palmer,166,4
9795,Ikechi Anya,27,2
80464,Idrissa Gueye,31,51
134459,Sam Clucas,214,37,259,15
238916,Mikel Merino,23,14
331254,Phil Foden,167,3
115279,Aleksandar Mitrovic,23,10
4905,Michael Dawson,214,24
131523,Brendan Galloway,31,1,175,16
23957,Bruno,211,16
81681,Joel Robles,31,47
322418,Ethan Ampadu,15,7
10254,Ben Watson,27,33
344380,Harry Souttar,96,1
4065,Maarten Stekelenburg,31,40
96182,Roberto Firmino,26,52
69912,Junior Stanislas,183,33
68662,Steve Cook,183,54
