8505,Glenn Whelan
349485,Nathan Trott
8507,Chris Brunt
34693,Marko Arnautovic
106981,Jamie Vardy
284123,Alex Pike
23122,Asmir Begovic
113275,Alberto Moreno
86173,Philipp Wollscheid
118244,Luke Shaw
294849,Lynden Gooch
294848,Pablo Maffeo
116615,Mouez Hassen
67807,Harry Arter
143990,Harry Winks
30060,Andre Ayew
244779,Marko Grujic
39308,Danny Welbeck
80067,Matthew Lowton
318871,Trent Alexander-Arnold
118326,Dwight Gayle
105339,Molla Wague
6042,Gael Clichy
141931,Freddie Ladapo
75691,Nicolas Otamendi
75692,Shane Duffy
11624,Orestis Karnezis
10620,Anders Lindegaard
188,Gareth Barry
106872,Borja Baston
2115,Michael Carrick
343270,Jason Eyenga Lokilo
318896,Angus Gunn
24238,Dale Stephens
295603,Bartosz Kapustka
3874,Paul Robinson
335753,Dion Pereira
76810,Gabriel Paulista
8572,Dimitrios Konstantopoulos
13805,Adrian Mariappa
97635,Andre Carrillo
69844,Yannick Bolasie
11235,Sebastian Larsson
3281,Zlatan Ibrahimovic
106028,Jese
296332,Lys Mousset
109227,Javier Manquillo
302386,James Weir
255169,Ainsley Maitland-Niles
131487,Andre Gray
10498,James Morrison
43712,Cuco Martina
86458,Ben Gibson
317541,Brahim Diaz
344324,Jayson Molumby
318153,Aaron Mooy
108724,Ahmed Hegazi
19736,Lewis Grabban
71522,Andros Townsend
80882,Fabio Borini
101664,Chris Lowe
69933,Toby Alderweireld
110189,Jordan Pickford
34822,George Friend
35565,Niki Maenpaa
149599,Didier Ndong
312670,Hamza Choudhury
312739,Timothy Fosu-Mensah
69525,Luciano Narsingh
134887,Georges-Kevin Nkoudou
24148,Erik Pieters
89998,Manuel Lanzini
14805,Younes Kaboul
279379,Gabriel Jesus
78559,Daniel Ayala
107940,Will Keane
278129,George Honeyman
109915,Sadio Mane
280663,Aleix Garcia
107176,Loris Karius
70,John Terry
86425,Nathan Redmond
32323,Daryl Janmaat
25363,Juan Mata
77464,Ilkay Gundogan
78152,Marvin Zeegelaar
312920,Olufela Olomola
29474,Dusan Tadic
29574,Yohan Benalouane
29575,Mamadou Sakho
27213,Fabian Delph
29809,Eric Maxim Choupo-Moting
280060,Antonio Martinez
83601,Mika
12480,Ibrahim Afellay
29595,Moussa Sissoko
68049,Aaron Cresswell
30051,Laurent Koscielny
8157,Wes Morgan
135724,Harrison Reed
