"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"M","Ki Sung-yueng",3100,"LIV vs SWA 12:30PM ET",3.825,"SWA"
"M","Leroy Fer",3100,"LIV vs SWA 12:30PM ET",3.983,"SWA"
"M","Wayne Routledge",3100,"LIV vs SWA 12:30PM ET",0.500,"SWA"
"M","Roque Mesa",3100,"LIV vs SWA 12:30PM ET",2.643,"SWA"
"M","Jay Fulton",3100,"LIV vs SWA 12:30PM ET",-2.500,"SWA"
"M","Adam King",3100,"LIV vs SWA 12:30PM ET",0,"SWA"
"M","Courtney Baker-Richardson",3100,"LIV vs SWA 12:30PM ET",0,"SWA"
"M","Leon Britton",3100,"LIV vs SWA 12:30PM ET",0.000,"SWA"
"M","Lazar Markovic",3100,"LIV vs SWA 12:30PM ET",0,"LIV"
"M","Cameron Brannagan",3100,"LIV vs SWA 12:30PM ET",0,"LIV"
"M","Harry Wilson",3100,"LIV vs SWA 12:30PM ET",0,"LIV"
"M","Ovie Ejaria",3100,"LIV vs SWA 12:30PM ET",0,"LIV"
"M","Ben Woodburn",3100,"LIV vs SWA 12:30PM ET",6.625,"LIV"
"M","Marko Grujic",3100,"LIV vs SWA 12:30PM ET",0.500,"LIV"
"M"," Paulinho",3100,"LIV vs SWA 12:30PM ET",0,"LIV"
"D","Charlie Taylor",3100,"MU vs BUR 10:00AM ET",4.250,"BUR"
"M","Robbie Brady",3100,"MU vs BUR 10:00AM ET",10.525,"BUR"
"M","Jeff Hendrick",3100,"MU vs BUR 10:00AM ET",4.355,"BUR"
"M","Steven Defour",3100,"MU vs BUR 10:00AM ET",4.069,"BUR"
"M","Jack Cork",3100,"MU vs BUR 10:00AM ET",4.222,"BUR"
"M","Dean Marney",3100,"MU vs BUR 10:00AM ET",0,"BUR"
"M","Ashley Westwood",3100,"MU vs BUR 10:00AM ET",0.429,"BUR"
"M","Fredrik Ulvestad",3100,"MU vs BUR 10:00AM ET",0,"BUR"
"M","Scott McTominay",3100,"MU vs BUR 10:00AM ET",2.200,"MU"
"M","Nemanja Matic",3100,"MU vs BUR 10:00AM ET",3.593,"MU"
"M","Michael Carrick",3100,"MU vs BUR 10:00AM ET",0,"MU"
"M","Mousa Dembele",3100,"TOT vs SOU 07:30AM ET",1.737,"TOT"
"M","Eric Dier",3100,"TOT vs SOU 07:30AM ET",3.360,"TOT"
"M","Harry Winks",3100,"TOT vs SOU 07:30AM ET",2.476,"TOT"
"M","Luke Amos",3100,"TOT vs SOU 07:30AM ET",0,"TOT"
"M","Anthony Georgiou",3100,"TOT vs SOU 07:30AM ET",0.000,"TOT"
"M","Tashan Oakley-Boothe",3100,"TOT vs SOU 07:30AM ET",0,"TOT"
"M","Mario Lemina",3100,"TOT vs SOU 07:30AM ET",5.317,"SOU"
"M","Pierre-Emile Højbjerg",3100,"TOT vs SOU 07:30AM ET",4.300,"SOU"
"M","Oriol Romeu",3100,"TOT vs SOU 07:30AM ET",4.103,"SOU"
"M","Jake Hesketh",3100,"TOT vs SOU 07:30AM ET",0,"SOU"
"D","Christian Kabasele",3100,"WAT vs LEI 10:00AM ET",3.632,"WAT"
"M","Nathaniel Chalobah",3100,"WAT vs LEI 10:00AM ET",6.100,"WAT"
"M","Ben Watson",3100,"WAT vs LEI 10:00AM ET",0.875,"WAT"
"M","Andy King",3100,"WAT vs LEI 10:00AM ET",2.429,"LEI"
"M","Vicente Iborra",3100,"WAT vs LEI 10:00AM ET",3.977,"LEI"
"M","Daniel Amartey",3100,"WAT vs LEI 10:00AM ET",1.200,"LEI"
"M","Matty James",3100,"WAT vs LEI 10:00AM ET",1.750,"LEI"
"M","Hamza Choudhury",3100,"WAT vs LEI 10:00AM ET",0.000,"LEI"
"D","Ahmed Hegazi",3100,"WBA vs EVE 10:00AM ET",3.988,"WBA"
"M","Gareth Barry",3100,"WBA vs EVE 10:00AM ET",4.700,"WBA"
"M","Jake Livermore",3100,"WBA vs EVE 10:00AM ET",2.316,"WBA"
"M","Claudio Yacob",3100,"WBA vs EVE 10:00AM ET",2.500,"WBA"
"M","James Morrison",3100,"WBA vs EVE 10:00AM ET",4.000,"WBA"
"M","Muhamed Besic",3100,"WBA vs EVE 10:00AM ET",2.667,"EVE"
"M","Beni Baningime",3100,"WBA vs EVE 10:00AM ET",2.750,"EVE"
"M","Fraser Hornby",3100,"WBA vs EVE 10:00AM ET",4.000,"EVE"
"M","Tom Davies",3100,"WBA vs EVE 10:00AM ET",2.553,"EVE"
"M","Morgan Schneiderlin",3100,"WBA vs EVE 10:00AM ET",2.618,"EVE"
"M","Davy Klaassen",3100,"WBA vs EVE 10:00AM ET",1.250,"EVE"
"M","Harry Charsley",3100,"WBA vs EVE 10:00AM ET",1.750,"EVE"
"M","James McCarthy",3100,"WBA vs EVE 10:00AM ET",0,"EVE"
"M","Nathan Broadhead",3100,"WBA vs EVE 10:00AM ET",0.000,"EVE"
"M","Alex Denny",3100,"WBA vs EVE 10:00AM ET",0.000,"EVE"
"M","Stephen Duke-McKenna",3100,"WBA vs EVE 10:00AM ET",0,"EVE"
"M","Anthony Gordon",3100,"WBA vs EVE 10:00AM ET",0.000,"EVE"
"D","Steve Cook",3000,"BOU vs WHU 10:00AM ET",2.554,"BOU"
"D","Winston Reid",3000,"BOU vs WHU 10:00AM ET",3.017,"WHU"
"D","James Collins",3000,"BOU vs WHU 10:00AM ET",1.875,"WHU"
"D","Martin Cranie",3000,"HUD vs STK 10:00AM ET",1.167,"HUD"
"D","Kevin Wimmer",3000,"HUD vs STK 10:00AM ET",0.958,"STK"
"D","Sebastian Prodl",3000,"WAT vs LEI 10:00AM ET",2.000,"WAT"
"D","Ashley Williams",3000,"WBA vs EVE 10:00AM ET",3.227,"EVE"
"D","Tyrone Mings",2900,"BOU vs WHU 10:00AM ET",-0.250,"BOU"
"D","Michael Hefele",2900,"HUD vs STK 10:00AM ET",0.000,"HUD"
"D","Harry Souttar",2900,"HUD vs STK 10:00AM ET",0,"STK"
"D","Maya Yoshida",2900,"TOT vs SOU 07:30AM ET",4.984,"SOU"
"D","Adrian Mariappa",2900,"WAT vs LEI 10:00AM ET",2.036,"WAT"
"D","Molla Wague",2900,"WAT vs LEI 10:00AM ET",3.333,"WAT"
"D","Danny Simpson",2900,"WAT vs LEI 10:00AM ET",3.264,"LEI"
"D","Gareth McAuley",2900,"WBA vs EVE 10:00AM ET",2.694,"WBA"
"D","Mason Holgate",2900,"WBA vs EVE 10:00AM ET",4.167,"EVE"
"D","Michael Keane",2900,"WBA vs EVE 10:00AM ET",2.544,"EVE"
"D","Jack Simpson",2800,"BOU vs WHU 10:00AM ET",0,"BOU"
"D","Connor Goldson",2800,"CHE vs BHA 10:00AM ET",0,"BHA"
"D","Wesley Hoedt",2800,"TOT vs SOU 07:30AM ET",3.886,"SOU"
"D","Younes Kaboul",2800,"WAT vs LEI 10:00AM ET",2.750,"WAT"
"D","Craig Cathcart",2800,"WAT vs LEI 10:00AM ET",0.000,"WAT"
"D","Wes Morgan",2800,"WAT vs LEI 10:00AM ET",1.972,"LEI"
"D","Morgan Feeney",2800,"WBA vs EVE 10:00AM ET",2.500,"EVE"
"D","Phil Jagielka",2800,"WBA vs EVE 10:00AM ET",2.558,"EVE"
"D","Lewis Dunk",2700,"CHE vs BHA 10:00AM ET",3.583,"BHA"
"D","Mike van der Hoorn",2700,"LIV vs SWA 12:30PM ET",3.778,"SWA"
"D","Kevin Long",2700,"MU vs BUR 10:00AM ET",4.667,"BUR"
"D","Virgil van Dijk",2700,"TOT vs SOU 07:30AM ET",3.518,"SOU"
"D","Jack Stephens",2700,"TOT vs SOU 07:30AM ET",3.042,"SOU"
"D","Brice Dja Djedje",2700,"WAT vs LEI 10:00AM ET",0,"WAT"
"D","Tommie Hoban",2700,"WAT vs LEI 10:00AM ET",0,"WAT"
"D","Robert Huth",2700,"WAT vs LEI 10:00AM ET",0,"LEI"
"D","Yohan Benalouane",2700,"WAT vs LEI 10:00AM ET",0,"LEI"
"D","Ramiro Funes Mori",2700,"WBA vs EVE 10:00AM ET",0,"EVE"
"D","Shane Duffy",2600,"CHE vs BHA 10:00AM ET",4.854,"BHA"
"D","Uwe Hunemeier",2600,"CHE vs BHA 10:00AM ET",0.000,"BHA"
"D","Jake Clarke-Salter",2600,"CHE vs BHA 10:00AM ET",0,"CHE"
"D","Jon Gorenc Stankovic",2600,"HUD vs STK 10:00AM ET",0,"HUD"
"D","Alfie Mawson",2600,"LIV vs SWA 12:30PM ET",3.294,"SWA"
"D","Kyle Bartley",2600,"LIV vs SWA 12:30PM ET",1.750,"SWA"
"D","Federico Fernandez",2600,"LIV vs SWA 12:30PM ET",3.354,"SWA"
"D","Joe Rodon",2600,"LIV vs SWA 12:30PM ET",0,"SWA"
"D","Brandon Cooper",2600,"LIV vs SWA 12:30PM ET",0,"SWA"
"D","Ben Mee",2600,"MU vs BUR 10:00AM ET",4.375,"BUR"
"D","James Tarkowski",2600,"MU vs BUR 10:00AM ET",4.278,"BUR"
"D","Juan Foyth",2600,"TOT vs SOU 07:30AM ET",2.500,"TOT"
"D","Florin Gardos",2600,"TOT vs SOU 07:30AM ET",0,"SOU"
"D","Jan Bednarek",2600,"TOT vs SOU 07:30AM ET",0.000,"SOU"
"D","Brandon Mason",2600,"WAT vs LEI 10:00AM ET",0,"WAT"
"D","Aleksandar Dragovic",2600,"WAT vs LEI 10:00AM ET",2.583,"LEI"
"D","Josh Knight",2600,"WAT vs LEI 10:00AM ET",0,"LEI"
"D","Max Melbourne",2600,"WBA vs EVE 10:00AM ET",0,"WBA"
"D","Nathan Ferguson",2600,"WBA vs EVE 10:00AM ET",0,"WBA"
"D","Seamus Coleman",2600,"WBA vs EVE 10:00AM ET",0,"EVE"
"D","Michael Collins",2600,"WBA vs EVE 10:00AM ET",0,"EVE"
