Player_id, won_contest, accurate_pass, touch_factor, aerial_won, saves, total_tackle_opp, yellow_card_opp, red_card_opp, goals, assists
73399,0.0,206.0,0.999545389073,2.0,53.0,0.0,1.0,0.0,0.0,0.0
322595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133381,5.0,179.0,0.553745553285,3.0,0.0,15.0,0.0,0.0,2.0,2.0
322596,3.0,55.0,0.161643559896,0.0,0.0,2.0,0.0,0.0,0.0,0.0
130330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69956,8.0,712.0,1.96823246596,4.0,0.0,42.0,4.0,0.0,0.0,2.0
11981,4.0,1634.0,3.10177797727,91.0,0.0,53.0,5.0,0.0,6.0,0.0
114075,36.0,1884.0,3.66745989067,19.0,0.0,127.0,9.0,0.0,1.0,1.0
23444,36.0,1045.0,3.36533174607,22.0,0.0,88.0,9.0,0.0,6.0,2.0
322594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3553,6.0,305.0,1.04191724255,4.0,0.0,19.0,5.0,2.0,0.0,0.0
140088,136.0,258.0,1.46477502516,15.0,0.0,30.0,1.0,0.0,0.0,1.0
4145,0.0,501.0,2.02510549652,94.0,0.0,28.0,9.0,0.0,2.0,2.0
121454,7.0,631.0,1.62685577649,46.0,0.0,26.0,0.0,0.0,0.0,1.0
295133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33748,9.0,384.0,1.46341094798,21.0,0.0,10.0,2.0,0.0,2.0,0.0
24711,25.0,605.0,1.9545890194,27.0,0.0,50.0,8.0,0.0,2.0,2.0
275887,1.0,1.0,0.0268110854812,2.0,0.0,0.0,0.0,0.0,0.0,0.0
107395,1.0,79.0,0.348485908446,2.0,17.0,0.0,0.0,0.0,0.0,0.0
19155,14.0,416.0,1.41631472507,1.0,0.0,19.0,1.0,0.0,1.0,3.0
73084,52.0,1476.0,3.2646973819,14.0,0.0,50.0,4.0,0.0,6.0,18.0
3859,14.0,656.0,1.54564719577,12.0,0.0,21.0,8.0,0.0,5.0,5.0
73382,4.0,71.0,0.285337854053,16.0,0.0,4.0,1.0,0.0,2.0,0.0
108055,10.0,299.0,1.10139327048,54.0,0.0,12.0,1.0,0.0,7.0,4.0
19277,10.0,794.0,2.57767440186,55.0,0.0,32.0,8.0,2.0,2.0,2.0
19270,0.0,101.0,0.243696155156,0.0,7.0,1.0,0.0,0.0,0.0,0.0
2856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73063,14.0,642.0,3.85706927867,131.0,0.0,58.0,10.0,0.0,4.0,0.0
19782,1.0,317.0,1.40846936019,5.0,64.0,0.0,1.0,0.0,0.0,0.0
125209,3.0,572.0,0.889423732046,5.0,0.0,22.0,1.0,0.0,0.0,1.0
255961,0.0,6.0,0.0198412698413,1.0,0.0,0.0,0.0,0.0,0.0,0.0
255962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243552,2.0,635.0,1.81626233977,33.0,0.0,41.0,3.0,0.0,1.0,1.0
98317,20.0,118.0,0.456088850848,0.0,0.0,6.0,1.0,0.0,0.0,0.0
71714,51.0,1724.0,3.33666509084,62.0,0.0,90.0,10.0,0.0,4.0,1.0
69375,21.0,1496.0,3.38758670416,13.0,0.0,80.0,0.0,0.0,0.0,2.0
8236,10.0,484.0,2.57599550879,95.0,0.0,55.0,8.0,0.0,1.0,0.0
33831,0.0,33.0,0.109123674491,0.0,10.0,0.0,0.0,0.0,0.0,0.0
142438,0.0,225.0,0.759552547812,21.0,0.0,16.0,0.0,0.0,0.0,0.0
6292,0.0,8.0,0.0257648953301,1.0,0.0,2.0,0.0,0.0,0.0,0.0
26682,3.0,290.0,0.991637875039,10.0,0.0,19.0,1.0,0.0,1.0,0.0
