Date, MatchId, home_team_id, home_team_name, away_team_id, away_team_name, half_time_score,, full_time_score,, home_prob, draw_prob, away_prob, home_odds, draw_odds, away_odds, odds_home_prob, odds_draw_prob, odds_away_prob, model_pred, odds_pred, model_correct?, odds_correct?, payout
10/9/16 15:00,1080547,183,Bournemouth,175,West Brom,0,0,1,0,0.534204518,0.236536903,0.229258579,2.05,3.25,4.33,0.475237661,0.299765294,0.224997045,0,0,1,1,2.05
10/9/16 15:00,1080548,184,Burnley,214,Hull,0,0,1,1,0.37584282,0.269684639,0.354472541,2.45,3.1,3.4,0.398261855,0.314755337,0.286982807,0,0,0,0,0
10/9/16 17:30,1080549,26,Liverpool,14,Leicester,2,1,4,1,0.604723271,0.204808438,0.190468291,1.7,4,5.5,0.576671035,0.24508519,0.178243775,0,0,1,1,1.7
10/9/16 12:30,1080550,32,Man United,167,Man City,1,2,1,2,0.423866012,0.210272754,0.365861234,2.38,3.25,3.4,0.411132195,0.301075269,0.287792536,0,0,0,0,0
10/9/16 15:00,1080551,21,Middlesbrough,162,Crystal Palace,1,1,1,2,0.467804771,0.246277641,0.285917588,2.3,3.2,3.6,0.424153166,0.304860088,0.270986745,0,0,0,0,0
10/9/16 15:00,1080552,96,Stoke,30,Tottenham,0,1,0,4,0.351976052,0.235799507,0.412224441,4.6,3.75,1.85,0.212172184,0.260264546,0.527563269,2,2,1,1,1.85
12/9/16 20:00,1080553,16,Sunderland,31,Everton,0,0,0,3,0.321246702,0.253827592,0.424925707,3.8,3.5,2.1,0.256723716,0.278728606,0.464547677,2,2,1,1,2.1
11/9/16 16:00,1080554,259,Swansea,15,Chelsea,0,1,2,2,0.370561785,0.23192667,0.397511546,5.75,4,1.67,0.170050277,0.244447273,0.58550245,2,2,0,0,0
10/9/16 15:00,1080555,29,West Ham,27,Watford,2,2,2,4,0.468999596,0.241011368,0.289989036,1.91,3.6,4.5,0.511508951,0.271383916,0.217107133,0,0,0,0,0
16/09/2016 20:00:00,1080556,15,Chelsea,26,Liverpool,0,2,1,2,0.433244091,0.214358265,0.352397644,2.25,3.5,3.4,0.433910665,0.278942571,0.287146764,0,0,0,0,0
18/09/2016 14:15:00,1080557,162,Crystal Palace,96,Stoke,2,0,4,1,0.421013886,0.255545351,0.323440764,2,3.5,4.2,0.488372093,0.279069767,0.23255814,0,0,1,1,2
17/09/2016 17:30:00,1080558,31,Everton,21,Middlesbrough,3,1,3,1,0.463578413,0.235450071,0.300971516,1.67,3.8,6,0.582137568,0.255834142,0.16202829,0,0,1,1,1.67
17/09/2016 15:00:00,1080559,214,Hull,13,Arsenal,0,1,1,4,0.322713144,0.23063763,0.446649225,6,4.2,1.6,0.161849711,0.231213873,0.606936416,2,2,1,1,1.6
17/09/2016 15:00:00,1080560,14,Leicester,184,Burnley,1,0,3,0,0.444785275,0.27132854,0.283886185,1.5,4.33,8,0.651924344,0.225839842,0.122235814,0,0,1,1,1.5
17/09/2016 15:00:00,1080561,167,Man City,183,Bournemouth,2,0,4,0,0.556048831,0.200603911,0.243347257,1.29,6,12,0.756143667,0.162570888,0.081285444,0,0,1,1,1.29
18/09/2016 14:15:00,1080562,18,Southampton,259,Swansea,0,0,1,0,0.47112125,0.234772407,0.294106343,1.7,3.8,5.75,0.573716686,0.256662728,0.169620586,0,0,1,1,1.7
18/09/2016 16:30:00,1080563,30,Tottenham,16,Sunderland,0,0,1,0,0.598239565,0.211449659,0.190310775,1.33,5.5,11,0.733822548,0.177451634,0.088725817,0,0,1,1,1.33
18/09/2016 12:00:00,1080564,27,Watford,32,Man United,1,0,3,1,0.326119727,0.234129436,0.439750837,6,4.2,1.62,0.163071613,0.232959448,0.603968939,2,2,0,0,0
17/09/2016 15:00:00,1080565,175,West Brom,29,West Ham,3,0,4,2,0.362081983,0.259721235,0.378196782,2.8,3.2,2.8,0.347826087,0.304347826,0.347826087,2,2,0,0,0
24/09/2016 17:30:00,1080566,13,Arsenal,15,Chelsea,3,0,3,0,0.476540039,0.210199278,0.313260684,2.4,3.5,3.1,0.406519296,0.278756088,0.314724616,0,0,1,1,2.4
24/09/2016 15:00:00,1080567,183,Bournemouth,31,Everton,1,0,1,0,0.436279046,0.233460193,0.330260761,3.6,3.5,2.15,0.270052037,0.277767809,0.452180154,0,2,1,0,3.6
26/09/2016 20:00:00,1080568,184,Burnley,27,Watford,1,0,2,0,0.390446837,0.268406603,0.34114656,2.9,3.2,2.7,0.335533981,0.30407767,0.36038835,0,2,1,0,2.9
24/09/2016 15:00:00,1080569,26,Liverpool,214,Hull,3,0,5,1,0.590966671,0.204379652,0.204653677,1.22,7,15,0.796419903,0.138804612,0.064775485,0,0,1,1,1.22
24/09/2016 12:30:00,1080570,32,Man United,14,Leicester,4,0,4,1,0.569717363,0.216094683,0.214187954,1.73,3.9,5.25,0.563979672,0.250175598,0.18584473,0,0,1,1,1.73
24/09/2016 15:00:00,1080571,21,Middlesbrough,30,Tottenham,0,2,1,2,0.379987793,0.232635039,0.387377169,3.75,3.5,2.1,0.259259259,0.277777778,0.462962963,2,2,1,1,2.1
24/09/2016 15:00:00,1080572,96,Stoke,175,West Brom,0,0,1,1,0.487444778,0.255405598,0.257149624,2.38,3.3,3.3,0.40942928,0.29528536,0.29528536,0,0,0,0,0
24/09/2016 15:00:00,1080573,16,Sunderland,162,Crystal Palace,1,0,2,3,0.364492626,0.26948673,0.366020644,2.88,3.25,2.7,0.338659257,0.300104203,0.36123654,2,2,1,1,2.7
24/09/2016 15:00:00,1080574,259,Swansea,167,Man City,1,1,1,3,0.341722914,0.222601113,0.435675973,9,5.5,1.36,0.108061254,0.176827507,0.71511124,2,2,1,1,1.36
25/09/2016 16:00:00,1080575,29,West Ham,18,Southampton,0,1,0,3,0.398661824,0.237571625,0.363766551,2.8,3.3,2.75,0.348837209,0.295983087,0.355179704,0,2,0,1,0
17/10/2016 20:00:00,1080576,26,Liverpool,32,Man United,0,0,0,0,0.493261854,0.208726311,0.298011836,2.2,3.5,3.5,0.443037975,0.278481013,0.278481013,0,0,0,0,0
15/10/2016 15:00:00,1080577,167,Man City,31,Everton,0,0,1,1,0.547337501,0.202751376,0.249911123,1.5,4.75,7,0.653562654,0.206388206,0.14004914,0,0,0,0,0
16/10/2016 13:30:00,1080578,21,Middlesbrough,27,Watford,0,0,0,1,0.490195782,0.240511297,0.269292921,2.25,3.3,3.6,0.433497537,0.295566502,0.270935961,0,0,0,0,0
16/10/2016 16:00:00,1080579,18,Southampton,184,Burnley,0,0,3,1,0.54281425,0.234790444,0.222395307,1.4,4.8,9.5,0.694910088,0.202682109,0.102407802,0,0,1,1,1.4
15/10/2016 15:00:00,1080580,96,Stoke,16,Sunderland,2,0,2,0,0.490234553,0.252314791,0.257450655,2,3.6,4,0.486486486,0.27027027,0.243243243,0,0,1,1,2
15/10/2016 15:00:00,1080581,175,West Brom,30,Tottenham,0,0,1,1,0.284526056,0.242318635,0.473155309,5.5,3.8,1.73,0.177728514,0.257238639,0.565032848,2,2,0,0,0
22/10/2016 15:00:00,1080582,13,Arsenal,21,Middlesbrough,0,0,0,0,0.540315408,0.211392057,0.248292535,1.25,6.5,15,0.783919598,0.150753769,0.065326633,0,0,0,0,0
2/10/16 16:30,1080583,184,Burnley,13,Arsenal,0,0,0,1,0.274623571,0.234983841,0.490392589,9,5,1.4,0.108359133,0.19504644,0.696594427,2,2,1,1,1.4
22/10/2016 12:30:00,1080584,183,Bournemouth,30,Tottenham,0,0,0,0,0.396515855,0.227720175,0.37576397,4.2,3.6,1.95,0.231454006,0.270029674,0.49851632,0,2,0,0,0
30/09/2016 20:00:00,1080585,31,Everton,162,Crystal Palace,1,0,1,1,0.493629116,0.237814934,0.26855595,1.73,4,5,0.562271577,0.243182457,0.194545966,0,0,0,0,0
22/10/2016 15:00:00,1080586,184,Burnley,31,Everton,1,0,2,1,0.322547364,0.256773353,0.420679283,6,3.8,1.67,0.16202829,0.255834142,0.582137568,2,2,0,0,0
1/10/16 15:00,1080587,214,Hull,15,Chelsea,0,0,0,2,0.33389249,0.234782998,0.431324511,7.5,4.5,1.5,0.130434783,0.217391304,0.652173913,2,2,1,1,1.5
23/10/2016 16:00:00,1080588,15,Chelsea,32,Man United,2,0,4,0,0.463388836,0.214176493,0.322434672,2.15,3.4,3.8,0.454929577,0.287676056,0.257394366,0,0,1,1,2.15
2/10/16 14:15,1080589,14,Leicester,18,Southampton,0,0,0,0,0.351948449,0.252177173,0.395874378,2.25,3.4,3.5,0.433910665,0.287146764,0.278942571,2,0,0,0,0
22/10/2016 15:00:00,1080590,214,Hull,96,Stoke,0,1,0,2,0.415616267,0.253766853,0.33061688,3.1,3.3,2.5,0.314525353,0.29546321,0.390011437,0,2,0,1,0
2/10/16 12:00,1080591,32,Man United,96,Stoke,0,0,1,1,0.542554297,0.216463812,0.240981891,1.33,5.75,10,0.732974282,0.169540138,0.09748558,0,0,0,0,0
22/10/2016 15:00:00,1080592,14,Leicester,162,Crystal Palace,1,0,3,1,0.398683042,0.266000721,0.335316236,2.05,3.5,3.9,0.473629424,0.27741152,0.248959056,0,0,1,1,2.05
1/10/16 15:00,1080593,16,Sunderland,175,West Brom,0,1,1,1,0.412650066,0.276975286,0.310374648,2.5,3.25,3.2,0.392082941,0.301602262,0.306314797,0,0,0,0,0
22/10/2016 17:30:00,1080594,26,Liverpool,175,West Brom,2,0,2,1,0.632276217,0.199660137,0.168063646,1.29,6,13,0.760901375,0.163593796,0.075504829,0,0,1,1,1.29
1/10/16 12:30,1080595,259,Swansea,26,Liverpool,1,0,1,2,0.344973099,0.228710649,0.426316252,8,4.75,1.45,0.12192963,0.205355167,0.672715202,2,2,1,1,1.45
23/10/2016 13:30:00,1080596,167,Man City,18,Southampton,0,1,1,1,0.545743778,0.202573292,0.25168293,1.5,4.5,7.5,0.652173913,0.217391304,0.130434783,0,0,0,0,0
2/10/16 14:15,1080597,30,Tottenham,167,Man City,2,0,2,0,0.42208169,0.211490226,0.366428084,3,3.5,2.5,0.327102804,0.280373832,0.392523364,0,2,1,0,3
22/10/2016 15:00:00,1080598,259,Swansea,27,Watford,0,0,0,0,0.483611834,0.242612811,0.273775355,2.38,3.3,3.3,0.40942928,0.29528536,0.29528536,0,0,0,0,0
1/10/16 15:00,1080599,27,Watford,183,Bournemouth,0,1,2,2,0.371819551,0.245540364,0.382640084,2.38,3.3,3.3,0.40942928,0.29528536,0.29528536,2,0,0,0,0
22/10/2016 15:00:00,1080600,29,West Ham,16,Sunderland,0,0,1,0,0.498406571,0.244006703,0.257586727,1.67,4,5.75,0.58550245,0.244447273,0.170050277,0,0,1,1,1.67
1/10/16 15:00,1080601,29,West Ham,21,Middlesbrough,0,0,1,1,0.417867574,0.241600336,0.34053209,2.25,3.4,3.5,0.433910665,0.287146764,0.278942571,0,0,0,0,0
29/10/2016 17:30:00,1080602,162,Crystal Palace,26,Liverpool,2,3,2,4,0.313152817,0.232334071,0.454513111,5.25,4,1.7,0.185159973,0.243022464,0.571817563,2,2,1,1,1.7
15/10/2016 15:00:00,1080603,13,Arsenal,259,Swansea,2,1,3,2,0.545337693,0.211171724,0.243490583,1.29,6.5,11,0.760031889,0.150837098,0.089131012,0,0,1,1,1.29
30/10/2016 13:30:00,1080604,31,Everton,29,West Ham,0,0,2,0,0.487380196,0.229919146,0.282700658,1.8,3.8,4.75,0.539772727,0.255681818,0.204545455,0,0,1,1,1.8
15/10/2016 15:00:00,1080605,183,Bournemouth,214,Hull,3,1,6,1,0.492702578,0.235377407,0.271920015,1.85,3.5,5,0.526711813,0.278404816,0.194883371,0,0,1,1,1.85
29/10/2016 15:00:00,1080606,32,Man United,184,Burnley,0,0,0,0,0.594665917,0.212873853,0.19246023,1.2,7,19,0.80998782,0.138855055,0.051157125,0,0,0,0,0
15/10/2016 12:30:00,1080607,15,Chelsea,14,Leicester,2,0,3,0,0.574133255,0.214910544,0.2109562,1.57,4.5,6,0.62090376,0.216626423,0.162469817,0,0,1,1,1.57
29/10/2016 15:00:00,1080608,21,Middlesbrough,183,Bournemouth,1,0,2,0,0.429444726,0.238164311,0.332390963,2.5,3.2,3.2,0.390243902,0.304878049,0.304878049,0,0,1,1,2.5
15/10/2016 17:30:00,1080609,162,Crystal Palace,29,West Ham,0,1,0,1,0.422445673,0.248468865,0.329085462,2.15,3.5,3.6,0.452180154,0.277767809,0.270052037,0,0,0,0,0
30/10/2016 16:00:00,1080610,18,Southampton,15,Chelsea,0,1,0,2,0.40379008,0.225940416,0.370269504,3.2,3.4,2.4,0.305389222,0.28742515,0.407185629,0,2,0,1,0
31/10/2016 20:00:00,1080611,96,Stoke,259,Swansea,1,1,3,1,0.413333231,0.249438734,0.337228035,2.05,3.6,3.8,0.474176776,0.270017331,0.255805893,0,0,1,1,2.05
29/10/2016 12:30:00,1080612,16,Sunderland,13,Arsenal,0,1,1,4,0.27374015,0.232423248,0.493836601,9,5,1.4,0.108359133,0.19504644,0.696594427,2,2,1,1,1.4
29/10/2016 15:00:00,1080613,30,Tottenham,14,Leicester,1,0,1,1,0.568510149,0.217781624,0.213708227,1.62,4.2,6,0.603968939,0.232959448,0.163071613,0,0,0,0,0
29/10/2016 15:00:00,1080614,27,Watford,214,Hull,0,0,1,0,0.416196652,0.254978597,0.328824751,1.75,3.75,5.25,0.555555556,0.259259259,0.185185185,0,0,1,1,1.75
29/10/2016 15:00:00,1080615,175,West Brom,167,Man City,0,2,0,4,0.257894281,0.225643689,0.51646203,8,4.75,1.44,0.121362669,0.204400284,0.674237048,2,2,1,1,1.44
