Player_id, Others, Goalkeeper, Defender, Midfielder, Forward, Substitute
108860,0,0,0,2,1,5
122554,0,0,0,0,0,4
33891,0,0,0,4,20,24
34239,0,0,0,7,4,20
104010,0,0,11,0,0,6
26222,0,0,0,5,25,22
29026,0,0,17,0,0,0
13447,0,0,0,36,0,3
79050,0,0,0,6,0,26
76050,0,0,0,14,2,38
64343,0,0,0,9,0,19
8505,0,0,0,26,0,9
349485,0,0,0,0,0,1
8507,0,0,11,21,0,13
34693,0,0,0,31,11,4
106981,0,0,0,0,50,2
284123,0,0,0,0,0,2
23122,0,19,0,0,0,36
113275,0,0,14,0,0,37
86173,0,0,2,0,0,0
118244,0,0,10,0,0,8
294849,0,0,0,4,0,15
294848,0,0,0,0,0,2
116615,0,0,0,0,0,13
67807,0,0,0,43,0,7
143990,0,0,0,11,0,32
30060,0,0,0,11,12,18
244779,0,0,0,0,0,23
39308,0,0,0,1,13,14
80067,0,0,49,0,0,1
318871,0,0,6,2,0,29
118326,0,0,0,0,8,7
105339,0,0,0,0,0,6
6042,0,0,23,1,0,11
141931,0,0,0,0,0,4
75691,0,0,45,0,0,4
75692,0,0,17,0,0,0
11624,0,0,0,0,0,14
10620,0,0,0,0,0,11
188,0,0,0,37,0,13
106872,0,0,0,0,4,24
2115,0,0,0,18,0,18
343270,0,0,0,0,0,3
318896,0,0,0,0,0,5
24238,0,0,0,17,0,0
295603,0,0,0,0,0,8
3874,0,3,0,0,0,27
335753,0,0,0,0,0,5
76810,0,0,15,0,0,17
8572,0,0,0,0,0,12
13805,0,0,17,0,0,14
97635,0,0,0,6,2,7
69844,0,0,0,8,4,2
11235,0,0,0,17,0,6
3281,0,0,0,0,27,6
106028,0,0,0,0,7,6
296332,0,0,0,0,4,26
109227,0,0,25,4,0,20
302386,0,0,0,0,0,14
255169,0,0,1,0,0,14
131487,0,0,0,0,36,15
10498,0,0,0,18,1,21
43712,0,0,13,1,0,16
86458,0,0,38,0,0,0
317541,0,0,0,0,0,1
344324,0,0,0,0,0,3
318153,0,0,0,16,0,1
108724,0,0,17,0,0,0
19736,0,0,0,0,0,3
71522,0,0,0,34,12,8
80882,0,0,0,9,10,7
101664,0,0,11,1,0,5
69933,0,0,40,0,0,0
110189,0,46,0,0,0,2
34822,0,0,19,1,0,4
35565,0,0,0,0,0,5
149599,0,0,0,27,0,4
312670,0,0,0,0,0,1
312739,0,0,10,0,0,16
69525,0,0,0,0,5,24
134887,0,0,0,0,0,28
24148,0,0,31,21,0,3
89998,0,0,0,24,17,6
14805,0,0,25,0,0,2
279379,0,0,0,2,17,8
78559,0,0,11,0,0,10
107940,0,0,0,0,4,4
278129,0,0,0,1,1,13
109915,0,0,0,2,34,3
280663,0,0,0,1,0,13
107176,0,12,0,0,0,40
70,0,0,6,0,0,16
86425,0,0,0,23,21,10
32323,0,0,11,11,0,19
25363,0,0,0,24,5,18
77464,0,0,0,10,0,13
78152,0,0,1,4,0,2
312920,0,0,0,0,0,2
29474,0,0,0,36,9,5
29574,0,0,11,0,0,3
29575,0,0,18,0,0,2
27213,0,0,10,3,0,15
29809,0,0,0,1,14,2
280060,0,0,0,0,0,3
83601,0,0,0,0,0,16
12480,0,0,0,2,1,23
29595,0,0,0,15,2,31
68049,0,0,23,16,0,5
30051,0,0,47,0,0,0
8157,0,0,44,0,0,0
135724,0,0,0,1,0,10
135727,0,0,44,0,0,3
92331,0,0,0,0,0,3
4574,0,0,21,2,0,8
33833,0,0,0,17,0,8
42686,0,0,0,21,2,20
92550,0,0,20,0,0,8
13361,0,0,0,0,28,19
8786,0,14,0,0,0,5
243814,0,0,32,0,0,4
81726,0,0,30,0,0,2
315290,0,0,0,0,0,28
31376,0,0,0,0,14,8
34098,0,0,0,0,0,2
7616,0,0,0,0,0,9
342565,0,0,0,0,0,3
28421,0,0,0,12,13,13
34302,0,0,0,24,5,12
326414,0,0,0,0,0,1
335593,0,0,0,0,0,2
93309,0,0,1,0,0,0
349750,0,0,0,0,0,1
135837,0,0,14,0,0,3
122980,0,0,10,8,0,15
34131,0,0,42,6,0,5
79442,0,0,1,1,0,11
82102,0,0,0,0,15,17
299450,0,0,0,7,0,2
12431,0,0,47,0,0,4
109670,0,0,0,0,2,22
83335,0,0,0,7,0,8
297544,0,0,21,3,0,28
141312,0,0,0,6,0,7
84146,0,0,0,22,1,27
11020,0,0,0,13,0,9
96257,0,0,0,11,0,2
44847,0,0,39,0,0,4
332416,0,0,0,0,0,2
332411,0,0,1,0,0,7
332410,0,0,0,0,0,1
332412,0,0,0,0,0,2
141414,0,0,2,1,0,30
138785,0,0,0,0,0,3
12267,0,0,27,0,0,11
36745,0,1,0,0,0,47
81959,0,0,0,9,0,18
70099,0,0,12,0,0,5
14111,0,35,0,0,0,16
14114,0,0,0,3,11,6
91822,0,0,18,7,1,16
92804,0,0,0,14,1,2
126958,0,0,12,0,0,2
71647,0,0,0,0,5,6
19471,0,0,14,0,0,10
14058,0,0,0,6,11,1
69877,0,0,38,8,0,6
69090,0,0,0,3,3,17
14053,0,0,0,22,0,16
69878,0,0,0,11,0,9
8327,0,0,0,17,0,37
131464,0,0,21,0,0,34
