"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"D","Glen Johnson",3600,"STK vs WBA 10:00AM ET",2.417,"STK"
"M","Sam Field",3600,"STK vs WBA 10:00AM ET",4.750,"WBA"
"M","Leroy Fer",3600,"SWA vs CRY 10:00AM ET",3.983,"SWA"
"D","Javier Manquillo",3600,"WHU vs NEW 10:00AM ET",3.583,"NEW"
"GK","Niki Maenpaa",3500,"BHA vs WAT 10:00AM ET",0,"BHA"
"GK","Daniel Bachmann",3500,"BHA vs WAT 10:00AM ET",0,"WAT"
"M","Roberto Pereyra",3500,"BHA vs WAT 10:00AM ET",3.135,"WAT"
"GK","Adam Legzdins",3500,"BUR vs TOT 12:30PM ET",0,"BUR"
"GK","Paulo Gazzaniga",3500,"BUR vs TOT 12:30PM ET",16.000,"TOT"
"GK","Alfie Whiteman",3500,"BUR vs TOT 12:30PM ET",0,"TOT"
"D","Matthew Lowton",3500,"BUR vs TOT 12:30PM ET",6.115,"BUR"
"GK","Adam Federici",3500,"MCI vs BOU 10:00AM ET",0,"BOU"
"GK","Artur Boruc",3500,"MCI vs BOU 10:00AM ET",0,"BOU"
"GK","Aaron Ramsdale",3500,"MCI vs BOU 10:00AM ET",0,"BOU"
"GK","Daniel Grimshaw",3500,"MCI vs BOU 10:00AM ET",0,"MCI"
"GK","Robert Green",3500,"SOU vs HUD 10:00AM ET",0,"HUD"
"GK","Stuart Taylor",3500,"SOU vs HUD 10:00AM ET",0,"SOU"
"D","Wesley Hoedt",3500,"SOU vs HUD 10:00AM ET",3.886,"SOU"
"M","Oriol Romeu",3500,"SOU vs HUD 10:00AM ET",4.103,"SOU"
"GK","Jakob Haugaard",3500,"STK vs WBA 10:00AM ET",0,"STK"
"GK","Alex Palmer",3500,"STK vs WBA 10:00AM ET",0,"WBA"
"D","Ryan Shawcross",3500,"STK vs WBA 10:00AM ET",4.942,"STK"
"D","Craig Dawson",3500,"STK vs WBA 10:00AM ET",4.333,"WBA"
"M","Ibrahim Afellay",3500,"STK vs WBA 10:00AM ET",-0.100,"STK"
"GK","Dion Henry",3500,"SWA vs CRY 10:00AM ET",0,"CRY"
"M","Wayne Routledge",3500,"SWA vs CRY 10:00AM ET",0.500,"SWA"
"GK","Nathan Trott",3500,"WHU vs NEW 10:00AM ET",0,"WHU"
"GK","Freddie Woodman",3500,"WHU vs NEW 10:00AM ET",0,"NEW"
"M","Etienne Capoue",3400,"BHA vs WAT 10:00AM ET",3.375,"WAT"
"M","Moussa Sissoko",3400,"BUR vs TOT 12:30PM ET",2.729,"TOT"
"M","Andrew Surman",3400,"MCI vs BOU 10:00AM ET",6.313,"BOU"
"D","Virgil van Dijk",3400,"SOU vs HUD 10:00AM ET",3.518,"SOU"
"D","Geoff Cameron",3400,"STK vs WBA 10:00AM ET",3.479,"STK"
"M","Charlie Adam",3400,"STK vs WBA 10:00AM ET",2.083,"STK"
"D","Mamadou Sakho",3400,"SWA vs CRY 10:00AM ET",4.450,"CRY"
"M","Luka Milivojevic",3400,"SWA vs CRY 10:00AM ET",5.842,"CRY"
"D","Angelo Ogbonna",3400,"WHU vs NEW 10:00AM ET",4.500,"WHU"
"D","Shane Duffy",3300,"BHA vs WAT 10:00AM ET",4.854,"BHA"
"D","Charlie Taylor",3300,"BUR vs TOT 12:30PM ET",4.250,"BUR"
"M","Victor Wanyama",3300,"BUR vs TOT 12:30PM ET",2.500,"TOT"
"M","Marc Pugh",3300,"MCI vs BOU 10:00AM ET",4.000,"BOU"
"D","Jack Stephens",3300,"SOU vs HUD 10:00AM ET",3.042,"SOU"
"D","Bruno Martins Indi",3300,"STK vs WBA 10:00AM ET",2.063,"STK"
"M","James McArthur",3300,"SWA vs CRY 10:00AM ET",5.000,"CRY"
"D","Jose Fonte",3300,"WHU vs NEW 10:00AM ET",5.075,"WHU"
"M","Mark Noble",3300,"WHU vs NEW 10:00AM ET",5.136,"WHU"
"M","Cheikhou Kouyate",3300,"WHU vs NEW 10:00AM ET",4.441,"WHU"
"D","Lewis Dunk",3200,"BHA vs WAT 10:00AM ET",3.583,"BHA"
"D","Miguel Britos",3200,"BHA vs WAT 10:00AM ET",3.583,"WAT"
"M","Davy Propper",3200,"BHA vs WAT 10:00AM ET",5.238,"BHA"
